fa_title,en_title,price,discount,score,publisher,author,code,Isbn,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,earliest_send_time,summary,tags
کتاب پائیز عریان, Paiez-e Oryan," 55,000 "," 41,250 ",3.63,محراب قلم,مژگان مظفری,52598,978-6001871863,1399,شومیز,,رقعی,,,,"در این داستان ""دلینا"" دختری مسلمان است که عاشق پسری مسیحی به نام ""سیرنگ"" است. از طرفی ""پژمان"" پسر عموی دلینا سخت خواهان دلینا است؛ اما زمانی که ارتباط و علاقه دلینا و سیرنگ را درمی‌یابد، دلینا را در انتخابش آزاد می‌گذارد، آن دو با هم ازدواج می‌کنند تا این که بعد از مرگ سیرنگ، پژمان به دلینا نزدیک می‌شود و بعد از وقوع حوادثی از دلینا خواستگاری می‌کند.","['ادبیات داستانی', 'رمان', 'ادبیات ایران']"
کتاب توماس کوهن و جنگ های علم, Thomas Kuhn and the Science Wars,"2,800",,3.66,نشر چشمه,ضیاءالدین سردار,28608,978-9643623043,67,1389,,رقعی,,,,"نگارنده، در کتاب حاضر از سرنوشت علم طی جنگ جهانی او و دوم و پس از آن سخن میگوید. به زعم وی پس از جنگ جهانی اول و دوم، ضربه ای جدی بر علم وارد شد. در این دوره علم به میدان جنگ، کشیده شد. به درون حکومت رسوخ کرد و دانشمندان مسئول تولید اشکال جدید و مرگ بارتر سلاح های شیمیایی و میکروبی، نیز طراحی، تولید و سرانجام انفجار بمب شناخته شدند. در این دوره علم، عمدتا محصولی از تمدن غرب انگاشته می شد. در قرن بیستم تاریخ نگاری علم، تحول یافت و علم از انحصار تمدن و سرمایه داری غرب رهایی یافت. در این دوره، ""توماس کوهن"" با انتشار کتاب ""ساختار انقلاب های علمی""، عصر نوینی را در درک دانش آغاز کرد. وی در این کتاب نشان داد که قوانین و فرضیات علمی در چهار چوب الگوهای تثبیت شده ای با نام ""پارادایم""، در فرهنگ های گوناگون، عرضه شده اند طبق نظر کوهن، عمده ی فعالیت علمی تحت عنوان ""علم هنجارگذار""، انجام می شود؛ علم هنجارگذار، علمی است که در کتب درسی میتوان از آن سراغ گرفت. علمی که استناد تحقیق را بر یک یا چند دسناورد علمی گذشته، ضروری می داند. این علم محدود،محاسن و معایب خاص خود را دارد. از یک طرف، این علم جامعه ی علمی را قادر می سازد داده ها را به صورت سیستماتیک، جمع آوری کرده و مرزهای علم را به سرعت به طرف جلو گسترش دهد. از طرف دیگر، علم هنجارگذار، جامعه علمی را از محیط خارج، فزوی می سازد. در ادامه از یشرفت پساکوهنی، مطالب پسااستعماری علم،انتقاد از کوهن، و علم پسا عادی، سخن رفته است.","['ادبیات انگلیس', 'زندگی نامه', 'ادبیات واقع گرایانه', 'دهه 1990 میلادی', 'فلسفی', 'علمی']"
کتاب انسان و طبیعت در رنسانس, Man and nature in the Renaissance," 225,000 "," 191,250 ",3.71,علم,آلن جی دیباس,113468,978-6222464042,280,1402,,رقعی,,,,تحقیق حاضر، دومین کتاب از سلسله کتاب‌هایی است که تحت عنوان((تاریخ علم)) از سوی دانشگاه کیمبریج انگلستان انتشار یافته است .در این مجموعه هدف از نگارش آن تحلیل، تبیین و تفسیر((تاریخ علم)) با تئوری‌های پیشرفته ذکر شده است .این کتاب اساسا به تحلیل انسان و جهان یا تصور انسان و جهان از دیدگاه علمای دوره رنسانس مربوط می‌شود .بدین سان بخشی از کتاب به تاریخ شیمی، طب، فیزیولوژی و بخشی دیگر به تاریخ فیزیک، مکانیک و نجوم سده‌های 15تا 17 اختصاص یافته است .نویسنده این مباحث را برای کتاب برگزیده است :((سنت و اصلاح))، ((کلید شیمیایی))، ((مطالعه طبیعت در دنیای دگرگون شونده))، ((مطالعه انسان))، ((روش‌های نو و علمی نو))، ((یک مباحثه شیمیایی)) و ((یک منظومه جهانی نو)) .,"['ادبیات آمریکا', 'ادبیات معاصر', 'ادبیات واقع گرایانه', 'دهه 1970 میلادی', 'فلسفی']"
کتاب تاریخ علم (جلد 3), Science," 244,000 "," 195,200 ",3.9,سبزان,آدام هارت دیویس,16085,978-6001170881,343,1397,,رقعی,,,,در سال 1890، درست زمانی که به نظر می رسید علم به تمام آن چه برای دانستن وجود داشته، دست یافته است، اتم شکافته شد تا آرایشی حیرت آور از ذرات کوچک تر را نشان دهد، ذراتی همراه با مقادیر غیرقابل باور انرژی و متعاقب آن دو شاخه علمی کاملا جدید به نام های نظریه کوانتوم و نسبیت اینیشتین بنا نهاده شد و...,"['ادبیات انگلیس', 'ادبیات واقع گرایانه', 'دهه 2000 میلادی', 'تاریخی', 'علمی', 'کتاب مرجع']"
کتاب آشنایی با کتاب الیاقوت, An introduction to Al-yaqut," 30,000 "," 24,000 ",3.64,ادیان و مذاهب,مجموعه ی نویسندگان,80705,978-6006730783,1397,شومیز,,رقعی,,,,الیاقوت نوشته یکی از عالمان برجسته نوبختی در حوزه علم کلام است. آنچه موجب برجستگی این کتاب می‌شود، غنای محتوایی از نگاه کلی و اشاره به مسائل فلسفی محض از نگاه خاص است. با این حال درباره نویسندۀ این کتاب و زمان حیات وی اختلاف نظر بسیاری وجود دارد.,"['ادبیات واقع گرایانه', 'نقد ادبی', 'دینی و مذهبی', 'ادبیات ایران']"
کتاب سوفیا, Im Himmel kann ich Schlitten fahren," 98,000 "," 78,400 ",3.23,جاجرمی,مایکل مارتنسن,67720,978-9642928873,312,1395,,رقعی,,,,"""داستان سوفیا از جایی شروع می شود که زندگی هر انسانی از بدو تولد آغاز می شود. او در 24 سپتامبر 1998 به عنوان فرزند دوم ما به دنیا آمد. از اولین تماس پوستی من می دانستم که چیز بسیار خاصی را روی دستانم حمل می کنم. با این وجود، این بود. با سوفیا متفاوت بود، همانطور که تمام زندگی او قرار بود مسیر دیگری را طی کند. در واقع، من یک پسر می خواستم. اما شما چگونه می گویید؟ ""مهمترین چیز سلامت است!"" داستان تأثیرگذار یک رابطه خاص اینگونه آغاز می شود: سوفیا، فرزند پدر - مبتلا به سرطان خون تهاجمی: پدر تا آخرین لحظه امیدوار است، حتی بر خلاف تمام امیدها. تا زمانی که باید رها کند. او در این کتاب از فراز و نشیب‌های احساسات، افرادی که کمک کرده‌اند، از ناامیدی‌ها و تصادف‌های شگفت‌انگیز می‌گوید. و از سوفیا، فرزند بسیار خاص که با خرد و دانش خود در دل مردم ردپایی از خود به جای می گذارد و در نهایت پدر را به امر اجتناب ناپذیر نزدیک می کند.","['ادبیات داستانی', 'ادبیات آلمان', 'دهه 2010 میلادی', 'رمان']"
کتاب جکسون پولاک, Jackson Pollock,"30,000",,3.28,نشر نظر,فاستو گیلبرتی,23675,978-6001522536,36,1397,,خشتی,,,,جکسون پولاک شبیه هیچ نقاش دیگری نبود. به‌جای نشستن در مقابل سه‌پایه‌ای با قلم مو، رنگ را روی بوم‌هایی ریخت که روی زمین پهن شده بودند، حرکت می‌کرد، پاشیده می‌شد و باعث می‌شد مایع زنده با انرژی و ریتم حرکت کند. داستان پولاک در اینجا با شوخ طبعی و عجیب و غریب روایت می شود، که کاملا با تصاویر خط سیاه همراه شده است - و به وفور پراکنده می شود. فائوستو گیلبرتی حرکت، زندگی و هوس را به داستان زندگی واقعی یکی از مهمترین هنرمندان معاصر زمان ما می آورد.,"['ادبیات کودک و نوجوان', 'ادبیات واقع گرایانه', 'ادبیات ایتالیا', 'دهه 2010 میلادی', 'کتاب کودک', 'زندگی نامه ی هنرمندان']"
کتاب معرفه الحدیث, Knowledge of hadith,"3,500",,3.66,علمی و فرهنگی,محمدباقر بهبودی,35540,978-6001211553,1389,شومیز,,وزیری,,,,این اثر، علاوه بر گزارش های تاریخی مستند از حدیث شیعه، اطلاعات دقیقی در ارتباط با الفاظ کاربردی در رجال شیعه در اختیار خواننده می گذارد. همچنین به سان کتاب ضعفای ابن غضائری که راویان ضعیف را مستدل معرفی کرده است، افراد ضعیف در رجال شیعه را فهرست می کند که مشتمل بر اطلاعات ارزشمندی است.مولف خود درباره انگیزه تألیف می گوید: «کتاب معرفة الحدیث را عرضه کردم تا صحت و اتقان حدیث شیعه را با توجه به تار و پود آن، برای همه روشن کنم و نام جمعی از راویان بدنام و بی تقوا را درج کنم تا با شناخت آنها بتوانند احادیث سایر کتاب ها را بپیرایند.,"['ادبیات واقع گرایانه', 'دینی و مذهبی', 'ادبیات عرب']"
کتاب پرسش از حقیقت انسان, The question concerning the truth of man," 259,000 "," 207,200 ",3.02,کتاب طه,علی اصغر مصلح,103797,978-6005334425,1395,سلفونی,,رقعی,,,,,"['ادبیات معاصر', 'ادبیات واقع گرایانه', 'فلسفی', 'ادبیات ایران', 'انسان شناسی']"
کتاب چه شد؟ داستان افول اجتماع در ایران, What happened?," 220,000 "," 198,000 ",3.23,اگر,محسن گودرزی,100823,978-6227695533,1402,شومیز,,رقعی,,,,کتاب « چه شد؟ داستان افول اجتماع در ایران» نوشته « محسن گودرزی عبدالمحمد کاظمی پور » توسط انتشارات اگر منتشر شده است.این کتاب داستان هشداردهنده‌ی افول اجتماع در ایران است. این کتاب بازتاب صدایی است که از جامعه به گوش می‌رسد. دردودلی درباره‌ی وضعیتی که در آن اعتماد عمومی از دست رفته، بنیان‌ها اخلاقی سست و متزلزل شده و ارتباطات رو به سردی و بی رمقی گذاشته‌اند. در چنین جامعه‌ای نهادها و انجمن‌ها پا نمی گیرند و پیوندهای میان افراد و گروه‌ها و حکومت گسسته‌اند.داده های ارائه شده در این کتاب نشان می دهند جامعه ی ایران در چند دهه ی اخیر به شکل هشدار دهنده ای به چنین وضعیتی نزدیک شده است. نویسندگان در این کتاب با ارائه آمارها و داده های مختلفی از پیمایش هایملی تحلیل ها و تجربه های تاریخی از ایران و کشورهای دیگر خواننده را به سفری پنجاه ساله می برند تا با نگاهی از بلندا دیدگاهی کلی از روندهای کلان جامعه به دست آورند.«چه شد؟» اگرچه بیشتر توصیف این وضعیت است در پایان درباره ی این که به کجا می رویم؟» و «هر یک از ما به صفت فردی یا جمعی برای بهبود وضعیت ایران چه کاری می توانیم بکنیم؟»,"['ادبیات معاصر', 'ادبیات ایران', 'جامعه شناسی', 'پرفروش ترین های چاپ 1401']"
کتاب معناشناسی شناختی قرآن, The Cognitive semantics of the Quran,"210,000",,3.8,پژوهشگاه فرهنگ و اندیشه اسلامی,علیرضا قائمی نیا,57128,978-6001081231,1401,شومیز,,رقعی,,,,معناشناسی شناختی قرآن به یک معنا، تلاش برای دست یافتن به نقشه شناختی این کتاب آسمانی است. هدف نگارنده، بررسی سختار اطلاعاتی است که پایه و اساس تعابیر قرآنی قرار گرفته اند. این نقشه می تواند به ما نشان دهد که قرآن در توصیف موقعیت های گوناگون، چگونه مفهوم سازی می کند؟ آیا اصول مشترکی بر این مفهوم سازی ها حاکم است؟ و در صورت وجود این اصول، چگونه باید آنها را در فهم آیات به کار گیریم؟ پرواضح است که تهیه چنین نقشه ای، اهمیتی فوق العاده دارد و هدف از آن بسی فراتر از تفسیر قرآن می رود. کاملا امکان پذیر است که مفسر بدون در دست داشتن چنین نقشه ای به تفسیر بپردازد و در تفسیر هم با مشکلاتی روبه رو شود. در واقع، مفسران خود تعابیر قرآنی را بررسی کرده اند، امام هرگز به دنبال این نبوده اند که اصول معناشناختی مشترک میان آنها را بیابند؛ و اگر هم در موارد محدودی آنها را به صورت ناآگاهانه به کار گرفته اند، هرگز نتوانسته اند آنها را به صورتی منسجم در فهم آیات به کار گیرند. تفسیرها از این نظر به شرح و توضیح جداگانه آیات می مانند که تک تک آیات را – بدون دقت در مفهوم سازی دیگر آیات – تفسیر می کنند و اگر هم به این مفهوم سازی ها دقت می کنند، آنها را در محدوده ای بسیار ناچیز به کار می گیرند؛ بنابراین، معناشناسی شناختی قرآن وظیفه ای بسیار سنگین بر عهده دارد. باید از تحلیل تعابیر قرآنی به اصول حاکم بر مفهوم سازی آن دست بیابیم و به کمک آن، اصول نقشه شناختی قرآن را ترسیم نماییم.,"['دینی و مذهبی', 'ادبیات ایران', 'معناشناسی', 'کتاب مصور', 'ادبیات عرب']"
کتاب محدودیت, Limitation," 60,000 "," 51,000 ",3.9,نگاه,فرید احمدی,29115,978-6003762411,1401,شومیز,,رقعی,,,,فرید احمدی ترانه سرای برخی آثار مشهور موسیقی پاپ در سال های اخیر است و کتاب حاضر دربردارندۀ بیش از هشتاد ترانه با مضامین مختلف می باشد که با توامندی بالا و ذوقی سرشار سروده شده اند.,"['ادبیات ایران', 'ترانه', 'شعر ایرانی', 'شعر معاصر']"
کتاب انتخاب سوم, The Drawing of the Three,"420,000",,4.23,افراز,استیون کینگ,1398,978-964-243-205-9,478,1397,,رقعی,,,,"کتاب انتخاب سوم، رمانی نوشته ی استیون کینگ است که نخستین بار در سال 1987 وارد بازار نشر شد.
رولند در مأموریت خود برای رسیدن به برج تاریک در جهانی که بازتابی کابوس وار از دنیای خودمان است، با دری اسرارآمیز رو به رو می شود و با گذر از آن، پا به آمریکای معاصر می گذارد. او در آن جا با جوانی جسور و سرکش به نام ادی دین و زنی زیبا، باهوش و شجاع به نام ادتا هولمز متحد می شود و تلاش می کند تا با کمک آن ها در جنگ با نیروهای شرور زیرزمینی و دشمنانی ماورایی و عجیب و غریب، به پیروزی برسد. استیون کینگ در رمان انتخاب سوم، باز هم موفق شده تا با در هم آمیختن تار و پود دنیایی تاریک و فانتزی با جهان واقعیات، داستانی فوق العاده جذاب و سرگرم کننده را به طرفداران بیشمار خود هدیه کند.","['ادبیات اقتباسی', 'داستان فانتزی', 'ادبیات آمریکا', 'ادبیات داستانی', 'ادبیات معاصر', 'داستان وحشت', 'دهه 1980 میلادی', 'فانتزی']"
کتاب مجموعه 10 قصه از امام حسن (ع), Imam Hassan," 45,000 "," 38,250 ",3.15,قدیانی,مژگان شیخی,29521,978-6000806545,1399,شومیز,,خشتی,,,,,"['داستان تاریخی', 'ادبیات داستانی', 'ادبیات نوجوان', 'داستان دینی', 'ادبیات ایران', 'کتاب نوجوان', 'تاریخ اسلام', 'کتاب مصور', 'ادبیات آیینی']"
کتاب معنای خوابی که دیدم چیست؟, Jungian Dream Interpretation," 156,000 "," 124,800 ",3.12,بنیاد فرهنگ زندگی,جیمز هال,30318,978-6006268774,208,1400,,رقعی,,,,"خواب و رویا که برخی آن را زبان فراموش شده ی خدا و برخی پیام هایی از طرف شیطان می دانند، همواره به عنوان مبحثی بالقوه برای مطالعات آینده شمرده می شوند. اما باورهای مدرن بر این اساس است که خواب شدیدا به رواشناسی شخصی، خلقیات و الگوهای رفتاری غالب فرد مرتبط است. این عقیده از تحقیقات پیشگامانه ی کارل یونگ، روانپزشک سوییسی منشا گرفته است که طبق آن ها معتقد بود خواب و رویا، ناخودآگاهی است که واضحا زندگی یافته. کتاب ""معنای خوابی که دیدم چیست؟"" به اهتمام ""جیمز هال""، راهنمایی جامع و کاربردی از درک رویاها ""براساس روانکاوی پروفسور کارل گوستاو یونگ"" می باشد.یونگ معتقد بود که رویاها ممکن است حاوی حقایق غیرقابل انکار، اظهارات فلسفی، توهمات، تخیلات وحشیانه، خاطرات، برنامه ها، تجارب غیر منطقی و حتی بینش های تله پاتیک باشند. روان همانطور که یک جنبه روزانه دارد که ما آن را با عنوان زندگی آگاهانه تجربه می کنیم ، یک وجه شبانه ی ناخودآگاه دارد که ما آن را به عنوان یک خیال رویاگونه درک می کنیم. یونگ استدلال می کند همانطور که در اهمیت تجربه آگاهانه خود شکی نداریم ، پس نباید زندگی ناخودآگاه خود را نیز بی اهمیت تلقی کنیم.مدل روان شناختی یونگ به طور دقیق با نمونه های بالینی مربوط به رویا توصیف شده و مورد بحث قرار گرفته و چگونگی به کارگیری و تفسیر این مثال ها در شرایط مشابه را نیز توضیح می دهد. ""جیمز هال"" در ""معنای خوابی که دیدم چیست؟""، توجه به خصوصی به رویا های رایج و تکرار شونده، کابوس های تروماتیک، عملکرد رویاهای جبرانی یا هدفمند، رویاهای پیش آگاهانه و بسیاری دیگر از انواع خواب و رویا و کابوس پرداخته است.","['ادبیات کانادا', 'دهه 1980 میلادی', 'فلسفی', 'روانشناسی']"
کتاب همه چیز عالی ست, Everything is Perfect," 125,000 "," 100,000 ",3.81,ترنگ,ایوان آنتیک,70289,978-0050932506,250,1400,,رقعی,,,,در این کتاب کمال را از دیدگاه انسان نشان خواهیم داد؛ زیرا به نظر می‌رسد انسان‌ها تنها موجوداتی‌اند که به آن نیاز دارند. آنها بیش از هر موجود دیگری در عالم وجود، از درک این کمال محروم‌اند. به همین علت است که چنین آشوبی را در جهان ایجاد کرده‌اند. همه شما این کمال را احساس کرده‌اید، حتی هنگام مشاهده پرنده‌ای که روی درخت نشسته است. در این مقدمه برخی از ابعاد دیگر را برای شما فاش کردم؛ قلمرو غیرمنتظره پرندگان و درختان. من سعی خواهم کرد از شما الهام بگیرم تا احساس مشترک داشته باشید و در سایر جنبه‌های وجود به دنبال آن‌ها بگردید. کمال آگاهی الهی که هر چیزی را ممکن می‌سازد، همیشه وجود دارد. ما فقط نیاز به کمی انگیزه داریم تا بتوانیم این مسئله را کمی جدا از توهمات به خودمان یادآوری کنیم. به این منظور که بتوانیم در تمام لحظات زندگی که به ما داده شده، آن را مشاهده کنیم.,"['ادبیات آمریکا', 'دهه 2010 میلادی', 'فلسفی', 'روانشناسی', 'معنویت']"
کتاب جدال زندگی, Jedal-e Zendegi," 140,000 "," 119,000 ",3.34,شیرازه,فریدون پیشواپور,75956,978-6227489897,1401,شومیز,,رقعی,,,,در پی تحوّلات ناشی از کودتای ۲۸ مرداد ۱۳۳۲ که به سرکوب طیف وسیعی از نیروهای سیاسی مخالف منجر شد، سروان فریدون پیشواپور نیز مانند بسیاری از دیگر رفقای خود از شبکهٔ نظامی حزب توده، جز پناهندگی به اتحاد جماهیر شوروی راهی در پیش ندید. رویارویی با واقعیّت هولناک زندگی روزمره در شوروی باعث آن شد که سروان فریدون پیشواپور پس از دوره‌ای کوتاه از بهت و ناباوری در جستجوی راه بازگشت برآید. جدال زندگی، توصیف ساده و در عین‌حال تکان‌دهنده‌ای است از مراحل و حوادث مختلفی که این راه پرمخاطره به‌دنبال آورد.,"['خود زندگی نامه', 'سیاسی', 'ادبیات ایران', 'تاریخ ایران']"
کتاب سلام نی نی من مامان تو هستم, Salam Nini," 15,000 "," 12,750 ",3.68,با فرزندان,زهرا موسوی,58046,978-6007243466,1399,شومیز,,وزیری,,,,ارتباط کلامی و عاطفی با جنین باید از همان ماه‌های نخست بارداری آغاز شود. گفت‌وگو کردن، قصه گفتن، شعر خواندن، سلام کردن و بیان اتفاقات روزمره‌ی زندگی برای جنین، تأثیرات بسیار مهمی در ایجاد آرامش و شکل‌گیری شخصیت او دارد.حرف زدن با جنین باعث ایجاد حس آرامش، رشد بهتر جسمی و روانی او می‌شود و استمرار این کار در ماه‌های آخر بارداری و پس از تولد، یادگیری مهارت‌های زبانی و کلامی او را افزایش می‌دهد.از طرفی این امر از عوامل موثر در تقویت هوش کودک است و وابستگی و ارتباط عاطفی مادر و کودک را افزایش می‌دهد.,"['ادبیات ایران', 'ترانه', 'شعر کودک', 'کتاب مصور']"
کتاب بهار در دست تو, Bahar Dar Daste To," 21,000 "," 16,800 ",3.02,سیب سرخ,دامون زاغی,87686,978-6227733051,1400,شومیز,,رقعی,,,,,"['ادبیات معاصر', 'شعر', 'ادبیات ایران', 'شعر ایرانی', 'شعر نو', 'شعر معاصر']"
کتاب هنر ساخت گلهای بلندر 3, Flowers ," 48,000 "," 38,400 ",3.97,بین المللی حافظ,مهناز رشید حسین پور,88959,978-9648021462,1397,شومیز,,وزیری,,,,,"['ادبیات معاصر', 'هنری', 'ادبیات ایران', 'کتاب مصور', 'آموزشی', 'تجربه و هنر زندگی']"
کتاب زشت و زیبای پدیده ویکی لیکس, Wikileaks: News in the Networked Era," 10,000 "," 8,000 ",3.35,اطلاعات,مجموعه ی نویسندگان,42550,978-9644239922,235,1394,,رقعی,,,,ویکی لیکس چالش برانگیز ترین پدیده روزنامه نگاری که تاکنون در عصر دیجیتال پدیدار شده است. گزارش هایش با خبرهای داغ تاریخی نظیر «مدارک پنتاگون»که بر ملا کننده ی دروغ دولت رئیس جمهور جانسون در مورد اداره جنگ ویتنام بودند، مقایسه شده اند؛ الگویی که توسعه بنیادینی در روایتگری روزنامه نگاری ایجاد کرده است. همچنین ژانر جدیدی مثل بلاگ نویسی خلق کرده و خشم و شوق از این سو تا آن سوی طیف سیاسی و روزنامه نگارانه را به یک اندازه برانگیخته است. ویکی لیکس یک رشته چالش ها را برای وضع موجود در سیاست، روزنامه نگاری و ارتباطات سیاسی به وجود آورده است. فعالیت سیاست خارجی قدرتمندترین دولت جهان را به خطر انداخته است. ویکی لیکس سبب شده است بزرگ ترین سازمان های خبری با گروه سردبیری نسبتا کوچک آن همکاری کند. این هم شاید اکنون در آستانه اضمحلال باشد.,"['ادبیات انگلیس', 'ادبیات واقع گرایانه', 'دهه 2010 میلادی', 'سیاسی', 'اجتماعی']"
کتاب سیاستگذاری راهبردی, Strategic policy making,"140,000",,3.2,دانشگاه تهران,عباس مصلّی نژاد,65878,978-9640302163,1400,شومیز,,وزیری,,,,در این کتاب می‌خوانید: تبارشناسی تاریخی تکامل سیاستگذاری راهبردی رهیافت‌های سیاستگذاری راهبردی تا پایان جنگ سرد ظهور رهیافت‌های معنایی و فراساختاری پس از جنگ سرد سیاستگذاری راهبردی در عصر جهانی شدن سیاستگذاری راهبردی در فضای پساهژمونی.,"['مدیریت', 'ادبیات ایران', 'رهبری', 'علوم سیاسی']"
کتاب نوروز : جشن نوزایی آفرینش, Nowruz," 80,000 "," 64,000 ",3.65,دفتر پژوهش های فرهنگی,علی بلوکباشی,114952,978-9645799147,1390,شومیز,,رقعی,,,,,"['ادبیات معاصر', 'ادبیات واقع گرایانه', 'فرهنگی', 'ادبیات ایران', 'تاریخ ایران', 'کتاب مصور']"
کتاب هر آنچه از پایتون باید بدانید, Everything you need to know about Python," 270,000 "," 229,500 ",3.36,دیباگران تهران,حسین سیدی,90636,978-6222182694,1399,شومیز,,وزیری,,,,هر آنچه از پایتون باید بدانید، کتابی است، چند سطحی که مباحث پایتون را از پایه و بدون نیاز به دانش قبلی در رابطه با برنامه‌نویسی ارائه کرده است؛ مباحث پیشرفته پایتون، تحت عنوان BURN TO CODE در این کتاب جای داده شده است تا علاوه بر افراد مبتدی، برنامه‌نویسانی که قصد دارند مطالب پیشرفته برنامه‌نویسی را عمیق‌تر بیاموزند نیز، بتوانند از این کتاب استفاده کنند. شیوه نگارش کتاب به صورت پروژه محور تنظیم شده است و علاوه بر آن مباحث و دستورات پیچیده برنامه‌نویسی به صورت خط به خط بررسی شده است تا شما عزیزان با نحوه اجرا شدن دستورات برنامه‌نویسی بهتر و عمیق‌تر آشنا شوید.,"['ادبیات واقع گرایانه', 'ادبیات ایران', 'آموزشی', 'برنامه نویسی', 'علوم کامپیوتر']"
کتاب مهارت ارتباط میان فردی, Interpersonal communication skills," 7,000 "," 5,600 ",3.73,به نشر,سید مهدی خطیب,115860,978-9640231180,1398,شومیز,,رقعی,,,,,"['روانشناسی', 'ادبیات ایران', 'تعلیم و تربیت']"
کتاب شکارچی را به عروسی ام دعوت کن, Invite the hunter to my wedding," 15,000 "," 11,250 ",3.48,افراز,مسعود لک,62123,978-9642432691,1390,شومیز,,رقعی,,,,,"['ادبیات داستانی', 'مجموعه داستان', 'داستان کوتاه', 'ادبیات ایران']"
کتاب مسیر پنهان, The Hidden School," 280,000 "," 238,000 ",3.51,ذهن آویز,دن میلمن,18112,978-6001182396,320,1400,,رقعی,,,,میلمن حماسه جنگجویان صلح جو را در این رمان با ترکیبی از سفر های بین قاره ای و حوادث جالب به اتمام رسانده است. در اواخر دهه 1970 دن با حمایت مالی از کالج اوبرلین برای تحقیق جهانی در زمینه رشته ذهن و بدن، برای پیدا کردن یک مجله مربی خود کسی که یک کارگر مرموز در پمپ بنزین است و او را سقراط می نامد، به سمت جنوب غربی امریکا کشیده می شود. او با کمک یک مرد نابینا که همه جا پیدایش می شود محل اختفا کوهستانی خود را مشخص می کند تا کلماتی که باید در صفحات خالی بنویسد را کشف کند. سفر بعدی و ناگهانی اش، او را به اعماق چین می برد به یک مدرسه هنر های رزمی دور افتاده و مزرعه پنهانی.,"['ادبیات آمریکا', 'ادبیات واقع گرایانه', 'دهه 2010 میلادی', 'فلسفی', 'خودپروری', 'معنویت']"
کتاب برنامه ریزی و بودجه بر مبنای هدف, Goal-based planning and budgeting," 32,000 "," 25,600 ",3.97,دیباگران تهران,,92251,978-6001249044,1397,شومیز,,وزیری,,,,قابل استفاده برای: مسئولین تهیه طرح‌های سرمایه‌ای (طرح‌های توجیهی مالی، فنی و اقتصادی پروژه‌های سرمایه گذاری)مسئولین تهیه بودجه عملیاتی (تهیه بودجه یک دوره مالی)مسئولین تهیه مدیریت بودجه و سرمایه گذاری‌ها (خزانه داری)و نهایتا مدیرانی که مسئولیت بودجه کلان شرکت را بر عهده دارند,"['ادبیات واقع گرایانه', 'اقتصادی', 'مدیریت', 'ادبیات ایران', 'حسابداری']"
کتاب مولفه های معنای حق در قرآن کریم, Quran ," 17,000 "," 15,300 ",3.68,دانشگاه امام صادق (ع),پرویز آزادی,98742,978-6002141187,1390,شومیز,,خشتی,,,,,"['ادبیات معاصر', 'دینی و مذهبی', 'ادبیات ایران']"
کتاب پروانه شو حتی اگر روزگار پیله کرد, Parvaneh Sho," 28,000 "," 22,400 ",3.53,فراانگیزش‏‫,,105967,978-9642698684,1394,شومیز,,رقعی,,,,انسان ها همان گونه که باور داشته باشند می توانند بیندیشند. باورهای آدمی است که در هر لحظه به او القا می کند که چگونه بیندیشد. اصولا فرق بین انسان ها، فرق میان باورهای آنان است. انسان های موفق با باورهای عالی، موفقیت را برای خود خلق می کنند. انسان های ثروتمند، باورهای عالی و ثروت آفرین دارند که با اعتماد به نفس عالی خود و بدون توجه به تمام مسائل به دنبال کسب ثروت می روند و به لحاظ باورهای مثبتشان به ثروت مطلوب خود می رسند.این کتاب اثری است از محمد حجار به چاپ انتشارات فرا انگیزش. کتابی که به شما خواهد گفت دسترسی به موفقیت برای همه افراد امکان پذیر است، هرکسی هر آنچه را که آرزو کند در بر دارد تنها کافی است اندیشه اش را عوض کند تا به آن برسد. مطالب این کتاب به شما آموزش می‌دهد که چگونه افکارتان را تغییر دهید، در مسیری درست قدم بردارید و به هر آنچه که دلخواهتان هست دست یابید. با توجه به قانون جاذبه آرمان هایتان را به حقیقت تبدیل کنید و از زندگی خود نهایت استفاده و لذت را ببرید.,"['ادبیات معاصر', 'داستان روانشناسانه', 'مجموعه داستان', 'روانشناسی', 'داستان کوتاه', 'خودپروری', 'کتاب هایی که زندگی تان را دگرگون خواهند کرد', 'ادبیات ایران', 'آموزشی']"
کتاب مری مرتب, Mary,"3,000",,3.29,قدیانی,تونی گراس,29963,978-9645362643,12,1400,,جیبی,,,,,"['ادبیات آمریکا', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'داستان اجتماعی', 'کتاب کودک', 'کتاب مصور']"
کتاب ایران در پنج روایت, Iran," 145,000 "," 116,000 ",3.83,نقد فرهنگ,جواد میری,40251,978-6008405825,1399,شومیز,,رقعی,,,,نویسنده دراین کتاب تلاش نموده است پنج روایت از ایران را بازخوانی کند. به سخن دیگر، مفروض او این است که تصورات متفکران معاصر ایرانی درباره ی ایران به مثابه ی یک مفهوم، در عین مشابهت هایی که ممکن است داشته باشند، بدون شک دارای مفترقاتی نیز هستند و این دیالکتیک مشابهات و مفترقات، ما را به این نکته آگاه می کند و...,"['ادبیات واقع گرایانه', 'ادبیات ایران', 'تاریخ ایران']"
